d,clock,callv,putv,totv
2024-03-25,12:00,745859,814048,1559907
2024-03-25,13:30,906585,989468,1896053
2024-03-26,12:00,678327,608996,1287323
2024-03-26,13:30,876841,771310,1648151
2024-03-27,12:00,780476,886932,1667408
2024-03-27,13:30,978144,1120539,2098683
2024-03-28,12:00,642755,679551,1322306
2024-03-28,13:30,810721,872176,1682897
2024-04-01,12:00,1058123,955439,2013562
2024-04-01,13:30,1351693,1162601,2514294
2024-04-02,12:00,1095068,936361,2031429
2024-04-02,13:30,1311695,1118773,2430468
2024-04-03,12:00,905060,1021568,1926628
2024-04-03,13:30,1071135,1191792,2262927
2024-04-04,12:00,760055,844909,1604964
2024-04-04,13:30,1329940,1613349,2943289
2024-04-05,12:00,1265667,1394722,2660389
2024-04-05,13:30,1612542,2424538,4037080
2024-04-08,12:00,956386,1152971,2109357
2024-04-08,13:30,1135377,1376203,2511580
2024-04-09,12:00,1328216,1338993,2667209
2024-04-09,13:30,1584858,1706156,3291014
2024-04-10,12:00,1065158,1082384,2147542
2024-04-10,13:30,1633180,1678454,3311634
2024-04-11,12:00,1212042,1251098,2463140
2024-04-11,13:30,1830960,1859687,3690647
2024-04-12,12:00,1409985,1396769,2806754
2024-04-12,13:30,2040324,1828447,3868771
2024-04-15,12:00,1170290,1400203,2570493
2024-04-15,13:30,1835240,2099551,3934791
2024-04-16,12:00,997198,1166996,2164194
2024-04-16,13:30,1563056,1771989,3335045
2024-04-17,12:00,1202346,1515358,2717704
2024-04-17,13:30,1598485,1897891,3496376
2024-04-18,12:00,1149203,1531278,2680481
2024-04-18,13:30,1615457,2121846,3737303
2024-04-19,12:00,1404254,1957885,3362139
2024-04-19,13:30,1882509,2531359,4413868
2024-04-22,12:00,1188022,1430374,2618396
2024-04-22,13:30,1793488,2031695,3825183
2024-04-23,12:00,1289022,1483882,2772904
2024-04-23,13:30,1562795,1922609,3485404
2024-04-24,12:00,1317006,1419671,2736677
2024-04-24,13:30,1742348,1829222,3571570
2024-04-25,12:00,1353620,1380653,2734273
2024-04-25,13:30,1770940,1884130,3655070
2024-04-26,12:00,1282884,1335285,2618169
2024-04-26,13:30,1571036,1746743,3317779
2024-04-29,12:00,1229108,1191451,2420559
2024-04-29,13:30,1533404,1523386,3056790
2024-04-30,12:00,1288054,1503814,2791868
2024-04-30,13:30,1712709,1831728,3544437
2024-05-01,12:00,684089,921549,1605638
2024-05-01,13:30,1075857,1332998,2408855
2024-05-02,12:00,1187979,1368167,2556146
2024-05-02,13:30,1610039,1761531,3371570
2024-05-03,12:00,1484694,1752203,3236897
2024-05-03,13:30,1819318,2111775,3931093
2024-05-06,12:00,861773,1106207,1967980
2024-05-06,13:30,1175764,1520760,2696524
2024-05-07,12:00,888556,1147598,2036154
2024-05-07,13:30,1253090,1618509,2871599
2024-05-08,12:00,894597,1041097,1935694
2024-05-08,13:30,1210593,1367289,2577882
2024-05-09,12:00,1107605,1175022,2282627
2024-05-09,13:30,1385387,1474992,2860379
2024-05-10,12:00,1305153,1284549,2589702
2024-05-10,13:30,1613811,1566234,3180045
2024-05-13,12:00,769304,865762,1635066
2024-05-13,13:30,1062015,1193243,2255258
2024-05-14,12:00,861130,1097172,1958302
2024-05-14,13:30,1151867,1426700,2578567
2024-05-15,12:00,1053399,1118156,2171555
2024-05-15,13:30,1367608,1467708,2835316
2024-05-16,12:00,946361,922757,1869118
2024-05-16,13:30,1250802,1362020,2612822
2024-05-17,12:00,734430,974599,1709029
2024-05-17,13:30,990177,1346479,2336656
2024-05-20,12:00,767430,974881,1742311
2024-05-20,13:30,1040213,1375825,2416038
2024-05-21,12:00,830447,776898,1607345
2024-05-21,13:30,1092576,1039691,2132267
2024-05-22,12:00,361106,369752,730858
2024-05-22,13:30,589198,721778,1310976
2024-05-23,12:00,1215441,1133213,2348654
2024-05-23,13:30,1743049,1761351,3504400
2024-05-24,12:00,984158,1178344,2162502
2024-05-24,13:30,1194722,1508786,2703508
2024-05-28,12:00,766826,840975,1607801
2024-05-28,13:30,1072851,1253951,2326802
2024-05-29,12:00,956124,918286,1874410
2024-05-29,13:30,1184081,1206550,2390631
2024-05-30,12:00,1006209,1024838,2031047
2024-05-30,13:30,1290889,1364390,2655279
2024-05-31,12:00,1445084,1289168,2734252
2024-05-31,13:30,1849062,1609881,3458943
2024-06-03,12:00,1199399,1603062,2802461
2024-06-03,13:30,1713871,1971356,3685227
2024-06-04,12:00,1144876,1388142,2533018
2024-06-04,13:30,1679473,1775864,3455337
2024-06-05,12:00,1203580,1265645,2469225
2024-06-05,13:30,1447497,1654652,3102149
2024-06-06,12:00,796270,1218009,2014279
2024-06-06,13:30,1192911,1647650,2840561
2024-06-07,12:00,1180066,1258746,2438812
2024-06-07,13:30,1564730,1760927,3325657
2024-06-10,12:00,824731,775909,1600640
2024-06-10,13:30,1153275,1218464,2371739
2024-06-11,12:00,1050613,991446,2042059
2024-06-11,13:30,1543396,1372609,2916005
2024-06-12,12:00,710239,733363,1443602
2024-06-12,13:30,978886,1072874,2051760
2024-06-13,12:00,1072186,1179813,2251999
2024-06-13,13:30,1393586,1431830,2825416
2024-06-14,12:00,1029429,1247163,2276592
2024-06-14,13:30,1306772,1541327,2848099
2024-06-17,12:00,1149052,1157540,2306592
2024-06-17,13:30,1621852,1638421,3260273
2024-06-18,12:00,1058620,1014827,2073447
2024-06-18,13:30,1480881,1375828,2856709
2024-06-20,12:00,1101931,1326625,2428556
2024-06-20,13:30,1508901,1706585,3215486
2024-06-21,12:00,1074062,1165610,2239672
2024-06-21,13:30,1425572,1577610,3003182
2024-06-24,12:00,1147540,1113697,2261237
2024-06-24,13:30,1533185,1496548,3029733
2024-06-25,12:00,1100259,1090713,2190972
2024-06-25,13:30,1468791,1362105,2830896
2024-06-26,12:00,1260657,1010039,2270696
2024-06-26,13:30,1553561,1209189,2762750
2024-06-27,12:00,1039006,1090459,2129465
2024-06-27,13:30,1376173,1393924,2770097
2024-06-28,12:00,1356544,1473712,2830256
2024-06-28,13:30,1707971,1787406,3495377
2024-07-01,12:00,1110831,1294616,2405447
2024-07-01,13:30,1401188,1692050,3093238
2024-07-02,12:00,1043465,1120179,2163644
2024-07-02,13:30,1429171,1497091,2926262
2024-07-03,12:00,1185350,1271358,2456708
2024-07-03,13:30,1213956,1293820,2507776
2024-07-05,12:00,1028021,1030187,2058208
2024-07-05,13:30,1320376,1320063,2640439
2024-07-08,12:00,977388,986597,1963985
2024-07-08,13:30,1201309,1191868,2393177
2024-07-09,12:00,899982,1010779,1910761
2024-07-09,13:30,1208172,1333026,2541198
2024-07-10,12:00,1025287,955790,1981077
2024-07-10,13:30,1272268,1254996,2527264
2024-07-11,12:00,1376786,1550963,2927749
2024-07-11,13:30,1744076,1840417,3584493
2024-07-12,12:00,1457458,1142523,2599981
2024-07-12,13:30,1977122,1554810,3531932
2024-07-15,12:00,1392748,1324140,2716888
2024-07-15,13:30,1914379,1923365,3837744
2024-07-16,12:00,1496788,1598576,3095364
2024-07-16,13:30,1862236,1997945,3860181
2024-07-17,12:00,1428813,1218900,2647713
2024-07-17,13:30,1971200,1497698,3468898
2024-07-18,12:00,1787092,1563184,3350276
2024-07-18,13:30,2271787,1972756,4244543
2024-07-19,12:00,1521962,1471100,2993062
2024-07-19,13:30,2175948,1865689,4041637
2024-07-22,12:00,1429869,1318957,2748826
2024-07-22,13:30,1778749,1651640,3430389
2024-07-23,12:00,1312212,1299134,2611346
2024-07-23,13:30,1773803,1593317,3367120
2024-07-24,12:00,1746872,1593541,3340413
2024-07-24,13:30,2230024,1854547,4084571
2024-07-25,12:00,1948871,1643661,3592532
2024-07-25,13:30,2475518,2210763,4686281
2024-07-26,12:00,1685791,1440785,3126576
2024-07-26,13:30,2045148,2022165,4067313
2024-07-29,12:00,1749916,1596827,3346743
2024-07-29,13:30,2032382,2048574,4080956
2024-07-30,12:00,1507143,1689312,3196455
2024-07-30,13:30,2101064,2154961,4256025
2024-07-31,12:00,998042,1085320,2083362
2024-07-31,13:30,1302208,1503653,2805861
2024-08-01,12:00,1913659,1913386,3827045
2024-08-01,13:30,2457970,2413997,4871967
2024-08-02,12:00,1390593,1707304,3097897
2024-08-02,13:30,1688872,2023884,3712756
2024-08-05,12:00,847383,1024777,1872160
2024-08-05,13:30,1061785,1352316,2414101
2024-08-06,12:00,1267660,1245552,2513212
2024-08-06,13:30,1515754,1555150,3070904
2024-08-07,12:00,1371823,1683425,3055248
2024-08-07,13:30,1986962,2384729,4371691
2024-08-08,12:00,1233417,1420145,2653562
2024-08-08,13:30,1661559,1933871,3595430
2024-08-09,12:00,1247172,1386331,2633503
2024-08-09,13:30,1681584,1873424,3555008
2024-08-12,12:00,1309806,1519159,2828965
2024-08-12,13:30,1623954,1924789,3548743
2024-08-13,12:00,1342537,1418057,2760594
2024-08-13,13:30,1590841,1834260,3425101
2024-08-14,12:00,1513455,1335936,2849391
2024-08-14,13:30,1782846,1570083,3352929
2024-08-15,12:00,1277678,1324393,2602071
2024-08-15,13:30,1564020,1640584,3204604
2024-08-16,12:00,1288453,1121640,2410093
2024-08-16,13:30,1584847,1482977,3067824
2024-08-19,12:00,1197877,1038820,2236697
2024-08-19,13:30,1464973,1293347,2758320
2024-08-20,12:00,1383230,1260508,2643738
2024-08-20,13:30,1789609,1521840,3311449
2024-08-21,12:00,1370206,1170624,2540830
2024-08-21,13:30,1707214,1415723,3122937
2024-08-22,12:00,1730396,1523240,3253636
2024-08-22,13:30,2258784,1980603,4239387
2024-08-23,12:00,1796914,1851988,3648902
2024-08-23,13:30,2078425,2123164,4201589
2024-08-26,12:00,1330918,1201274,2532192
2024-08-26,13:30,1801225,1622104,3423329
2024-08-27,12:00,1375162,1356608,2731770
2024-08-27,13:30,1662925,1635088,3298013
2024-08-28,12:00,814838,738483,1553321
2024-08-28,13:30,1099388,1016699,2116087
2024-08-29,12:00,1162082,1060838,2222920
2024-08-29,13:30,1428182,1432662,2860844
2024-08-30,12:00,1309401,1338274,2647675
2024-08-30,13:30,1599538,1599283,3198821
2024-09-03,12:00,1578534,1223256,2801790
2024-09-03,13:30,2062924,1635829,3698753
2024-09-04,12:00,1376634,1396708,2773342
2024-09-04,13:30,1684590,1817942,3502532
2024-09-05,12:00,1478359,1589568,3067927
2024-09-05,13:30,1878691,2009834,3888525
2024-09-06,12:00,1563637,1826673,3390310
2024-09-06,13:30,1975616,2113284,4088900
2024-09-09,12:00,1103295,1495248,2598543
2024-09-09,13:30,1327999,2031908,3359907
2024-09-10,12:00,1257993,1638249,2896242
2024-09-10,13:30,1621825,1993843,3615668
2024-09-11,12:00,2076420,1601475,3677895
2024-09-11,13:30,2644935,2051137,4696072
2024-09-12,12:00,1599286,1701816,3301102
2024-09-12,13:30,2188222,2164031,4352253
2024-09-13,12:00,1496582,1447662,2944244
2024-09-13,13:30,1902164,1875240,3777404
2024-09-16,12:00,1195401,1395623,2591024
2024-09-16,13:30,1492049,1660413,3152462
2024-09-17,12:00,1457219,1643584,3100803
2024-09-17,13:30,1915544,1971587,3887131
2024-09-18,12:00,466651,609475,1076126
2024-09-18,13:30,908235,1059883,1968118
2024-09-19,12:00,1153425,1566978,2720403
2024-09-19,13:30,1507347,2098926,3606273
2024-09-20,12:00,1353712,1260454,2614166
2024-09-20,13:30,1701615,1680645,3382260
2024-09-23,12:00,1155165,1293896,2449061
2024-09-23,13:30,1519527,1623223,3142750
2024-09-24,12:00,1321724,1309652,2631376
2024-09-24,13:30,1547951,1624606,3172557
2024-09-25,12:00,980137,1123851,2103988
2024-09-25,13:30,1430507,1450372,2880879
2024-09-26,12:00,1295592,1324181,2619773
2024-09-26,13:30,1759719,1617693,3377412
2024-09-27,12:00,962252,1373724,2335976
2024-09-27,13:30,1360719,1738671,3099390
2024-09-30,12:00,758048,1100405,1858453
2024-09-30,13:30,1226918,1670014,2896932
2024-10-01,12:00,1839555,1532212,3371767
2024-10-01,13:30,2374659,1931186,4305845
2024-10-02,12:00,1209336,1495947,2705283
2024-10-02,13:30,1565030,1905205,3470235
2024-10-03,12:00,1430909,1519104,2950013
2024-10-03,13:30,1866417,1810702,3677119
2024-10-04,12:00,1490082,1571124,3061206
2024-10-04,13:30,1815117,1972967,3788084
2024-10-07,12:00,964022,1230073,2194095
2024-10-07,13:30,1402290,1640115,3042405
2024-10-08,12:00,1009310,1340801,2350111
2024-10-08,13:30,1273936,1782725,3056661
2024-10-09,12:00,1100327,1431790,2532117
2024-10-09,13:30,1368659,1859277,3227936
2024-10-10,12:00,1106478,1245557,2352035
2024-10-10,13:30,1409447,1610610,3020057
2024-10-11,12:00,1142981,1436337,2579318
2024-10-11,13:30,1462939,1730586,3193525
2024-10-14,12:00,854664,903935,1758599
2024-10-14,13:30,1008384,1137444,2145828
2024-10-15,12:00,1105620,1361640,2467260
2024-10-15,13:30,1471057,1717591,3188648
2024-10-16,12:00,1055263,987648,2042911
2024-10-16,13:30,1374658,1257221,2631879
2024-10-17,12:00,1111946,973220,2085166
2024-10-17,13:30,1451643,1282190,2733833
2024-10-18,12:00,1054224,961601,2015825
2024-10-18,13:30,1315534,1297374,2612908
2024-10-21,12:00,1187247,1247624,2434871
2024-10-21,13:30,1445020,1497251,2942271
2024-10-22,12:00,1010816,992833,2003649
2024-10-22,13:30,1428483,1353922,2782405
2024-10-23,12:00,1464603,1174183,2638786
2024-10-23,13:30,2091343,1687435,3778778
2024-10-24,12:00,1338624,1020396,2359020
2024-10-24,13:30,1677223,1295632,2972855
2024-10-25,12:00,1144563,1208167,2352730
2024-10-25,13:30,1825722,1871511,3697233
2024-10-28,12:00,831790,1235278,2067068
2024-10-28,13:30,1087702,1534704,2622406
2024-10-29,12:00,1075109,1112837,2187946
2024-10-29,13:30,1302044,1390433,2692477
2024-10-30,12:00,1002014,1157849,2159863
2024-10-30,13:30,1389427,1558135,2947562
2024-10-31,12:00,1512695,1201207,2713902
2024-10-31,13:30,1922570,1499898,3422468
2024-11-01,12:00,1414579,1526270,2940849
2024-11-01,13:30,1870234,2074969,3945203
2024-11-04,12:00,1359821,1447035,2806856
2024-11-04,13:30,1680115,1880577,3560692
2024-11-05,12:00,1441385,1560215,3001600
2024-11-05,13:30,1794422,2116364,3910786
2024-11-06,12:00,1136100,1246424,2382524
2024-11-06,13:30,1480744,1586696,3067440
2024-11-07,12:00,828514,743602,1572116
2024-11-07,13:30,1133368,1089651,2223019
2024-11-08,12:00,1161172,1035512,2196684
2024-11-08,13:30,1516960,1334539,2851499
2024-11-11,12:00,840200,901044,1741244
2024-11-11,13:30,1177630,1236722,2414352
2024-11-12,12:00,1145319,1333065,2478384
2024-11-12,13:30,1723293,1753570,3476863
2024-11-13,12:00,1398934,1388176,2787110
2024-11-13,13:30,1687939,1786924,3474863
2024-11-14,12:00,1299095,1413089,2712184
2024-11-14,13:30,1617752,1729857,3347609
2024-11-15,12:00,1862353,1877329,3739682
2024-11-15,13:30,2428011,2282284,4710295
2024-11-18,12:00,1385888,1136636,2522524
2024-11-18,13:30,1724831,1487113,3211944
2024-11-19,12:00,1492333,1513619,3005952
2024-11-19,13:30,1934912,2025586,3960498
2024-11-20,12:00,1302267,1213594,2515861
2024-11-20,13:30,1524615,1409941,2934556
2024-11-21,12:00,1597040,1517423,3114463
2024-11-21,13:30,1955892,1948210,3904102
2024-11-22,12:00,1581084,1456517,3037601
2024-11-22,13:30,2046047,1911262,3957309
2024-11-25,12:00,1813463,1644642,3458105
2024-11-25,13:30,2351094,1941253,4292347
2024-11-26,12:00,1246538,1549076,2795614
2024-11-26,13:30,1608381,2056514,3664895
2024-11-27,12:00,1302832,1420901,2723733
2024-11-27,13:30,1606634,1648482,3255116
2024-11-29,12:00,1209146,1345290,2554436
2024-11-29,13:30,1233272,1371062,2604334
2024-12-02,12:00,1115898,1146177,2262075
2024-12-02,13:30,1333424,1438198,2771622
2024-12-03,12:00,997276,1235539,2232815
2024-12-03,13:30,1209226,1478221,2687447
2024-12-04,12:00,790294,1006324,1796618
2024-12-04,13:30,1085608,1397497,2483105
2024-12-05,12:00,923795,960699,1884494
2024-12-05,13:30,1282491,1320444,2602935
2024-12-06,12:00,953925,1077460,2031385
2024-12-06,13:30,1297648,1362581,2660229
2024-12-09,12:00,1042761,1165900,2208661
2024-12-09,13:30,1345303,1413242,2758545
2024-12-10,12:00,1031411,1012892,2044303
2024-12-10,13:30,1322481,1302271,2624752
2024-12-11,12:00,1019835,1141616,2161451
2024-12-11,13:30,1207001,1445378,2652379
2024-12-12,12:00,1035188,1276801,2311989
2024-12-12,13:30,1322687,1604409,2927096
2024-12-13,12:00,1467063,1428555,2895618
2024-12-13,13:30,1763722,1703865,3467587
2024-12-16,12:00,1032450,982534,2014984
2024-12-16,13:30,1261325,1206106,2467431
2024-12-17,12:00,1130208,1186752,2316960
2024-12-17,13:30,1356185,1443446,2799631
2024-12-18,12:00,771764,720499,1492263
2024-12-18,13:30,1289630,1257081,2546711
2024-12-19,12:00,1260805,1413573,2674378
2024-12-19,13:30,1582567,1784021,3366588
2024-12-20,12:00,1862788,1679992,3542780
2024-12-20,13:30,2249155,2196375,4445530
2024-12-23,12:00,1457224,1337142,2794366
2024-12-23,13:30,1825978,1666423,3492401
2024-12-24,12:00,1973364,1208517,3181881
2024-12-24,13:30,1989192,1220298,3209490
2024-12-26,12:00,1552156,1035821,2587977
2024-12-26,13:30,1909102,1311855,3220957
2024-12-27,12:00,1949389,1917832,3867221
2024-12-27,13:30,2395093,2255676,4650769
2024-12-30,12:00,1945348,1701436,3646784
2024-12-30,13:30,2429883,2155102,4584985
2024-12-31,12:00,1656401,1563376,3219777
2024-12-31,13:30,2112458,1958323,4070781
2025-01-02,12:00,1946097,1707147,3653244
2025-01-02,13:30,2497792,2130832,4628624
2025-01-03,12:00,1664466,1601879,3266345
2025-01-03,13:30,2025498,2024222,4049720
2025-01-06,12:00,1615242,1542248,3157490
2025-01-06,13:30,2154520,2244790,4399310
2025-01-07,12:00,2041321,2025915,4067236
2025-01-07,13:30,2449468,2452386,4901854
2025-01-08,12:00,1492730,1789908,3282638
2025-01-08,13:30,2127316,2477910,4605226
2025-01-10,12:00,1984724,2173971,4158695
2025-01-10,13:30,2654374,2861128,5515502
2025-01-13,12:00,1809795,1955140,3764935
2025-01-13,13:30,2289326,2608715,4898041
2025-01-14,12:00,1935611,1503400,3439011
2025-01-14,13:30,2499147,1916910,4416057
2025-01-15,12:00,1703885,1785842,3489727
2025-01-15,13:30,2076436,2160077,4236513
2025-01-16,12:00,1418680,1606661,3025341
2025-01-16,13:30,1953698,2109926,4063624
2025-01-17,12:00,1600043,1639648,3239691
2025-01-17,13:30,1984023,2144779,4128802
2025-01-21,12:00,1413811,1548117,2961928
2025-01-21,13:30,1705773,1997048,3702821
2025-01-22,12:00,1130927,1221877,2352804
2025-01-22,13:30,1432412,1624957,3057369
2025-01-23,12:00,1115012,1170813,2285825
2025-01-23,13:30,1428244,1557404,2985648
2025-01-24,12:00,1290027,1196814,2486841
2025-01-24,13:30,1760605,1696652,3457257
2025-01-27,12:00,1377410,1365885,2743295
2025-01-27,13:30,1790552,1747050,3537602
2025-01-28,12:00,1510891,1489404,3000295
2025-01-28,13:30,1859426,1858520,3717946
2025-01-29,12:00,843408,764661,1608069
2025-01-29,13:30,1361631,1314949,2676580
2025-01-30,12:00,1468665,1250423,2719088
2025-01-30,13:30,1742686,1519902,3262588
2025-01-31,12:00,1300823,1379801,2680624
2025-01-31,13:30,1955924,2208952,4164876
2025-02-03,12:00,1831963,1983874,3815837
2025-02-03,13:30,2206247,2412419,4618666
2025-02-04,12:00,1446733,1369178,2815911
2025-02-04,13:30,1716818,1668680,3385498
2025-02-05,12:00,1475429,1278292,2753721
2025-02-05,13:30,1812892,1679404,3492296
2025-02-06,12:00,1164549,1108559,2273108
2025-02-06,13:30,1454496,1408837,2863333
2025-02-07,12:00,1908328,1678909,3587237
2025-02-07,13:30,2373955,2050436,4424391
2025-02-10,12:00,1318362,1444087,2762449
2025-02-10,13:30,1582214,1787082,3369296
2025-02-11,12:00,1003845,1222812,2226657
2025-02-11,13:30,1345297,1591329,2936626
2025-02-12,12:00,1682789,1577741,3260530
2025-02-12,13:30,1971361,1886813,3858174
2025-02-13,12:00,1229988,1387380,2617368
2025-02-13,13:30,1684534,1945841,3630375
2025-02-14,12:00,1388479,1309525,2698004
2025-02-14,13:30,1714882,1653765,3368647
2025-02-18,12:00,1284098,1063166,2347264
2025-02-18,13:30,1781882,1512142,3294024
2025-02-19,12:00,1091141,936634,2027775
2025-02-19,13:30,1492776,1335384,2828160
2025-02-20,12:00,1822792,1346171,3168963
2025-02-20,13:30,2198748,1571343,3770091
2025-02-21,12:00,1798587,1448106,3246693
2025-02-21,13:30,2544685,2211504,4756189
2025-02-24,12:00,1766584,1844284,3610868
2025-02-24,13:30,2099235,2212709,4311944
2025-02-25,12:00,1820025,1826202,3646227
2025-02-25,13:30,2308207,2293014,4601221
2025-02-26,12:00,1561007,1496432,3057439
2025-02-26,13:30,2059275,2128585,4187860
2025-02-27,12:00,1748945,2058184,3807129
2025-02-27,13:30,2149599,2524839,4674438
2025-02-28,12:00,1822570,2182100,4004670
2025-02-28,13:30,2271316,2930886,5202202
2025-03-03,12:00,1659797,1610977,3270774
2025-03-03,13:30,2322456,2310461,4632917
2025-03-04,12:00,2051953,2338615,4390568
2025-03-04,13:30,2874389,2984252,5858641
2025-03-05,12:00,1792058,1732996,3525054
2025-03-05,13:30,2549276,2606024,5155300
2025-03-06,12:00,2056171,2164560,4220731
2025-03-06,13:30,2617543,2654750,5272293
2025-03-07,12:00,2184965,2158810,4343775
2025-03-07,13:30,2941961,2829384,5771345
2025-03-10,12:00,2129382,1781637,3911019
2025-03-10,13:30,2900771,2352224,5252995
2025-03-11,12:00,1868529,1974929,3843458
2025-03-11,13:30,2580158,2643729,5223887
2025-03-12,12:00,2155756,2179701,4335457
2025-03-12,13:30,2700797,2811199,5511996
2025-03-13,12:00,1853343,2027023,3880366
2025-03-13,13:30,2569992,2605672,5175664
2025-03-14,12:00,1663796,2248168,3911964
2025-03-14,13:30,2065382,2945253,5010635
2025-03-17,12:00,1693274,1912012,3605286
2025-03-17,13:30,2381457,2560053,4941510
2025-03-18,12:00,1767717,1693438,3461155
2025-03-18,13:30,2286311,2086622,4372933
2025-03-19,12:00,1217346,1285229,2502575
2025-03-19,13:30,1718590,1868861,3587451
2025-03-20,12:00,1658385,1993595,3651980
2025-03-20,13:30,2256158,2584686,4840844
2025-03-21,12:00,1933351,1825735,3759086
2025-03-21,13:30,2377771,2372269,4750040
2025-03-24,12:00,1345810,1564641,2910451
2025-03-24,13:30,1730621,2013558,3744179
2025-03-25,12:00,1420568,1532206,2952774
2025-03-25,13:30,1922069,2003494,3925563
2025-03-26,12:00,1712140,1799584,3511724
2025-03-26,13:30,2294756,2324948,4619704
2025-03-27,12:00,1588254,1986206,3574460
2025-03-27,13:30,2030306,2509070,4539376
2025-03-28,12:00,1878942,1939906,3818848
2025-03-28,13:30,2413216,2385636,4798852
2025-03-31,12:00,1667235,2027585,3694820
2025-03-31,13:30,2263733,2695625,4959358
2025-04-01,12:00,1962518,2031383,3993901
2025-04-01,13:30,2362028,2693735,5055763
2025-04-02,12:00,1476645,1520856,2997501
2025-04-02,13:30,1846614,2143465,3990079
2025-04-03,12:00,1785108,1807459,3592567
2025-04-03,13:30,2210451,2432604,4643055
2025-04-04,12:00,1708068,2378853,4086921
2025-04-04,13:30,2262761,2975550,5238311
2025-04-07,12:00,1240064,1476035,2716099
2025-04-07,13:30,1652017,1963546,3615563
2025-04-08,12:00,1705023,2197248,3902271
2025-04-08,13:30,2344136,2950467,5294603
2025-04-09,12:00,1307087,1544174,2851261
2025-04-09,13:30,2376843,2460962,4837805
2025-04-10,12:00,1858140,2256226,4114366
2025-04-10,13:30,2582072,2956749,5538821
2025-04-11,12:00,1746075,1954026,3700101
2025-04-11,13:30,2378812,2652731,5031543
2025-04-14,12:00,1683631,1937718,3621349
2025-04-14,13:30,2208179,2371513,4579692
2025-04-15,12:00,1515123,1763888,3279011
2025-04-15,13:30,2044682,2415563,4460245
2025-04-16,12:00,1348802,1655171,3003973
2025-04-16,13:30,2028114,2595330,4623444
2025-04-17,12:00,1914932,2443142,4358074
2025-04-17,13:30,2560235,3131341,5691576
2025-04-21,12:00,1613907,1964430,3578337
2025-04-21,13:30,2150760,2586816,4737576
2025-04-22,12:00,1978415,1906778,3885193
2025-04-22,13:30,2630435,2764803,5395238
2025-04-23,12:00,1970486,2303653,4274139
2025-04-23,13:30,2512386,2972056,5484442
2025-04-24,12:00,1647953,1969770,3617723
2025-04-24,13:30,2007043,2527055,4534098
2025-04-25,12:00,1881437,1890580,3772017
2025-04-25,13:30,2706055,2638340,5344395
2025-04-28,12:00,1776492,1841651,3618143
2025-04-28,13:30,2317609,2338779,4656388
2025-04-29,12:00,1819267,1795871,3615138
2025-04-29,13:30,2563347,2409206,4972553
2025-04-30,12:00,1791027,2120399,3911426
2025-04-30,13:30,2415895,2683147,5099042
2025-05-01,12:00,1737674,1603533,3341207
2025-05-01,13:30,2241142,1993635,4234777
2025-05-02,12:00,1839613,1836542,3676155
2025-05-02,13:30,2269583,2299466,4569049
2025-05-05,12:00,1573837,1434009,3007846
2025-05-05,13:30,1934376,1812645,3747021
2025-05-06,12:00,1847433,1923348,3770781
2025-05-06,13:30,2351967,2392234,4744201
2025-05-07,12:00,1193987,1144401,2338388
2025-05-07,13:30,1730962,1848370,3579332
2025-05-08,12:00,2068581,1626685,3695266
2025-05-08,13:30,2498211,2178280,4676491
2025-05-09,12:00,1798643,1578028,3376671
2025-05-09,13:30,2307559,1965754,4273313
2025-05-12,12:00,1741811,1476410,3218221
2025-05-12,13:30,2184445,2019568,4204013
2025-05-13,12:00,1915314,1744648,3659962
2025-05-13,13:30,2380838,2245559,4626397
2025-05-14,12:00,1577325,1426926,3004251
2025-05-14,13:30,2122547,1965744,4088291
2025-05-15,12:00,1751872,1631267,3383139
2025-05-15,13:30,2281382,2239929,4521311
2025-05-16,12:00,1630646,1409073,3039719
2025-05-16,13:30,2088580,1897859,3986439
2025-05-19,12:00,1699295,1414188,3113483
2025-05-19,13:30,2259127,1938006,4197133
2025-05-20,12:00,1594632,1135755,2730387
2025-05-20,13:30,2160384,1637677,3798061
2025-05-21,12:00,1616195,1254248,2870443
2025-05-21,13:30,2659485,2403887,5063372
2025-05-22,12:00,1717848,1613870,3331718
2025-05-22,13:30,2278197,2116903,4395100
2025-05-23,12:00,1519995,1426283,2946278
2025-05-23,13:30,2014202,2125000,4139202
2025-05-27,12:00,1467383,1306311,2773694
2025-05-27,13:30,1817197,1795673,3612870
2025-05-28,12:00,1312149,938425,2250574
2025-05-28,13:30,1774922,1167931,2942853
2025-05-29,12:00,1682167,1360430,3042597
2025-05-29,13:30,2106555,1741731,3848286
2025-05-30,12:00,1490276,1670072,3160348
2025-05-30,13:30,2072889,2170048,4242937
2025-06-02,12:00,1378809,1331563,2710372
2025-06-02,13:30,1865892,1754963,3620855
2025-06-03,12:00,1657148,1290076,2947224
2025-06-03,13:30,2125254,1966112,4091366
2025-06-04,12:00,1580624,1392857,2973481
2025-06-04,13:30,1952888,1717053,3669941
2025-06-05,12:00,1776457,1488240,3264697
2025-06-05,13:30,2293857,1947523,4241380
2025-06-06,12:00,1630699,1702198,3332897
2025-06-06,13:30,2130649,2175493,4306142
2025-06-09,12:00,1320979,1106372,2427351
2025-06-09,13:30,1663040,1461633,3124673
2025-06-10,12:00,1296465,1127219,2423684
2025-06-10,13:30,1760231,1584238,3344469
2025-06-11,12:00,1770900,1239233,3010133
2025-06-11,13:30,2532440,1859298,4391738
2025-06-12,12:00,1334519,1362415,2696934
2025-06-12,13:30,1609285,1762524,3371809
