d,clock,callv,putv,totv
2023-03-31,12:00,898540,1435895,2334435
2023-03-31,13:30,1151234,1850070,3001304
2023-04-03,12:00,908964,1149095,2058059
2023-04-03,13:30,1146047,1398082,2544129
2023-04-04,12:00,1116384,1295862,2412246
2023-04-04,13:30,1411340,1546389,2957729
2023-04-05,12:00,793660,1166182,1959842
2023-04-05,13:30,1026141,1468427,2494568
2023-04-06,12:00,1102628,1387835,2490463
2023-04-06,13:30,1392234,1687462,3079696
2023-04-10,12:00,1076621,976081,2052702
2023-04-10,13:30,1347523,1267369,2614892
2023-04-11,12:00,888991,826154,1715145
2023-04-11,13:30,1099605,1081144,2180749
2023-04-12,12:00,1236426,1024559,2260985
2023-04-12,13:30,1598196,1386156,2984352
2023-04-13,12:00,919661,1046727,1966388
2023-04-13,13:30,1297313,1483304,2780617
2023-04-14,12:00,1446153,1554779,3000932
2023-04-14,13:30,1917479,1950818,3868297
2023-04-17,12:00,916168,1052063,1968231
2023-04-17,13:30,1186760,1292120,2478880
2023-04-18,12:00,1175724,1159194,2334918
2023-04-18,13:30,1517702,1476905,2994607
2023-04-19,12:00,841200,941894,1783094
2023-04-19,13:30,1156346,1294925,2451271
2023-04-20,12:00,1075845,927408,2003253
2023-04-20,13:30,1401377,1321364,2722741
2023-04-21,12:00,1197923,1325011,2522934
2023-04-21,13:30,1512339,1682895,3195234
2023-04-24,12:00,1110818,1015050,2125868
2023-04-24,13:30,1399241,1254918,2654159
2023-04-25,12:00,1142143,1005528,2147671
2023-04-25,13:30,1583188,1478401,3061589
2023-04-26,12:00,1065358,1167358,2232716
2023-04-26,13:30,1387494,1589567,2977061
2023-04-27,12:00,878417,1085908,1964325
2023-04-27,13:30,1202479,1420199,2622678
2023-04-28,12:00,1386816,1456747,2843563
2023-04-28,13:30,1658283,1767919,3426202
2023-05-01,12:00,1025912,1070749,2096661
2023-05-01,13:30,1232492,1294979,2527471
2023-05-02,12:00,1632773,1535127,3167900
2023-05-02,13:30,2133358,1919994,4053352
2023-05-03,12:00,587094,581184,1168278
2023-05-03,13:30,899600,918407,1818007
2023-05-04,12:00,1039528,1164120,2203648
2023-05-04,13:30,1320742,1502805,2823547
2023-05-05,12:00,1060204,1079427,2139631
2023-05-05,13:30,1385236,1433089,2818325
2023-05-08,12:00,786922,992127,1779049
2023-05-08,13:30,1113602,1348460,2462062
2023-05-09,12:00,868044,886504,1754548
2023-05-09,13:30,1123366,1101457,2224823
2023-05-10,12:00,1407634,1167764,2575398
2023-05-10,13:30,1872536,1591798,3464334
2023-05-11,12:00,1068220,1113031,2181251
2023-05-11,13:30,1387589,1464004,2851593
2023-05-12,12:00,1238980,1242116,2481096
2023-05-12,13:30,1663087,1572852,3235939
2023-05-15,12:00,886437,1119448,2005885
2023-05-15,13:30,1255120,1500202,2755322
2023-05-16,12:00,952611,1114308,2066919
2023-05-16,13:30,1170396,1351782,2522178
2023-05-17,12:00,1112337,1258648,2370985
2023-05-17,13:30,1526857,1782971,3309828
2023-05-18,12:00,1362593,1441257,2803850
2023-05-18,13:30,1733640,1806501,3540141
2023-05-19,12:00,1285531,1598989,2884520
2023-05-19,13:30,1643726,1918112,3561838
2023-05-22,12:00,1011159,1309441,2320600
2023-05-22,13:30,1257520,1603068,2860588
2023-05-23,12:00,1115529,1277808,2393337
2023-05-23,13:30,1652829,1807921,3460750
2023-05-24,12:00,1071380,1156490,2227870
2023-05-24,13:30,1372096,1472438,2844534
2023-05-25,12:00,1064201,1099856,2164057
2023-05-25,13:30,1411429,1461591,2873020
2023-05-26,12:00,1316997,1390431,2707428
2023-05-26,13:30,1532986,1725138,3258124
2023-05-30,12:00,1055442,1172320,2227762
2023-05-30,13:30,1369180,1600733,2969913
2023-05-31,12:00,1016652,1301273,2317925
2023-05-31,13:30,1410478,1754713,3165191
2023-06-01,12:00,1364816,1210722,2575538
2023-06-01,13:30,1602898,1468028,3070926
2023-06-02,12:00,1653218,1394299,3047517
2023-06-02,13:30,2032132,1692705,3724837
2023-06-05,12:00,978157,991712,1969869
2023-06-05,13:30,1359560,1406797,2766357
2023-06-06,12:00,1171145,1327927,2499072
2023-06-06,13:30,1488595,1668690,3157285
2023-06-07,12:00,1297818,1333796,2631614
2023-06-07,13:30,1691878,1666540,3358418
2023-06-08,12:00,1061585,1142819,2204404
2023-06-08,13:30,1317632,1485772,2803404
2023-06-09,12:00,1390256,1297187,2687443
2023-06-09,13:30,1692751,1525217,3217968
2023-06-12,12:00,733667,907002,1640669
2023-06-12,13:30,926518,1176769,2103287
2023-06-13,12:00,1315628,1201013,2516641
2023-06-13,13:30,1663866,1560709,3224575
2023-06-14,12:00,507042,610163,1117205
2023-06-14,13:30,960953,1017925,1978878
2023-06-15,12:00,1094740,1426457,2521197
2023-06-15,13:30,1424990,1840142,3265132
2023-06-16,12:00,1387278,1154728,2542006
2023-06-16,13:30,1682545,1398930,3081475
2023-06-20,12:00,1068961,1094284,2163245
2023-06-20,13:30,1344792,1367440,2712232
2023-06-21,12:00,1081633,1069172,2150805
2023-06-21,13:30,1452026,1286164,2738190
2023-06-22,12:00,1047166,937658,1984824
2023-06-22,13:30,1322387,1238729,2561116
2023-06-23,12:00,1123415,1063440,2186855
2023-06-23,13:30,1382652,1324684,2707336
2023-06-26,12:00,1269820,1109686,2379506
2023-06-26,13:30,1538551,1338337,2876888
2023-06-27,12:00,1203592,1083748,2287340
2023-06-27,13:30,1555924,1432393,2988317
2023-06-28,12:00,1380452,1144137,2524589
2023-06-28,13:30,1684584,1362985,3047569
2023-06-29,12:00,1257178,953838,2211016
2023-06-29,13:30,1640030,1254420,2894450
2023-06-30,12:00,1208161,1130087,2338248
2023-06-30,13:30,1472677,1415474,2888151
2023-07-03,12:00,900514,649917,1550431
2023-07-03,13:30,924190,661239,1585429
2023-07-05,12:00,711912,720830,1432742
2023-07-05,13:30,965814,987751,1953565
2023-07-06,12:00,1312256,972360,2284616
2023-07-06,13:30,1612090,1231956,2844046
2023-07-07,12:00,1254506,890300,2144806
2023-07-07,13:30,1522309,1166161,2688470
2023-07-10,12:00,1198168,969928,2168096
2023-07-10,13:30,1477215,1218130,2695345
2023-07-11,12:00,1149165,897260,2046425
2023-07-11,13:30,1435075,1139806,2574881
2023-07-12,12:00,1283185,1020132,2303317
2023-07-12,13:30,1510322,1194931,2705253
2023-07-13,12:00,802367,710559,1512926
2023-07-13,13:30,1036761,956907,1993668
2023-07-14,12:00,1188413,869956,2058369
2023-07-14,13:30,1500988,1099852,2600840
2023-07-17,12:00,730072,777812,1507884
2023-07-17,13:30,948345,1027467,1975812
2023-07-18,12:00,946796,941707,1888503
2023-07-18,13:30,1258299,1223246,2481545
2023-07-19,12:00,1231879,825321,2057200
2023-07-19,13:30,1562936,1046097,2609033
2023-07-20,12:00,1083752,1132799,2216551
2023-07-20,13:30,1406807,1507687,2914494
2023-07-21,12:00,989350,1112167,2101517
2023-07-21,13:30,1252387,1439285,2691672
2023-07-24,12:00,864152,1069389,1933541
2023-07-24,13:30,1099124,1368794,2467918
2023-07-25,12:00,656208,740009,1396217
2023-07-25,13:30,882052,1020229,1902281
2023-07-26,12:00,433451,403627,837078
2023-07-26,13:30,628948,616683,1245631
2023-07-27,12:00,1071320,958459,2029779
2023-07-27,13:30,1618730,1551132,3169862
2023-07-28,12:00,1007512,1149081,2156593
2023-07-28,13:30,1400976,1795785,3196761
2023-07-31,12:00,860083,975941,1836024
2023-07-31,13:30,1154155,1284229,2438384
2023-08-01,12:00,891071,927445,1818516
2023-08-01,13:30,1120915,1183677,2304592
2023-08-02,12:00,1298324,1336552,2634876
2023-08-02,13:30,1579893,1581465,3161358
2023-08-03,12:00,863900,1118156,1982056
2023-08-03,13:30,1105025,1464103,2569128
2023-08-04,12:00,1107856,1199489,2307345
2023-08-04,13:30,1589730,1831409,3421139
2023-08-07,12:00,854420,1210776,2065196
2023-08-07,13:30,1089360,1535291,2624651
2023-08-08,12:00,1004176,1146146,2150322
2023-08-08,13:30,1323054,1458938,2781992
2023-08-09,12:00,1212267,1280197,2492464
2023-08-09,13:30,1736163,1635347,3371510
2023-08-10,12:00,1402505,1706667,3109172
2023-08-10,13:30,1878082,2151425,4029507
2023-08-11,12:00,1262019,1530270,2792289
2023-08-11,13:30,1594284,1926782,3521066
2023-08-14,12:00,1141456,1179144,2320600
2023-08-14,13:30,1381575,1518635,2900210
2023-08-15,12:00,1268184,1233134,2501318
2023-08-15,13:30,1542374,1485187,3027561
2023-08-16,12:00,1083084,1125212,2208296
2023-08-16,13:30,1629112,1574451,3203563
2023-08-17,12:00,1250070,1311158,2561228
2023-08-17,13:30,1625527,1746981,3372508
2023-08-18,12:00,1302574,1642243,2944817
2023-08-18,13:30,1601383,2071047,3672430
2023-08-21,12:00,1164975,1097203,2262178
2023-08-21,13:30,1516124,1452629,2968753
2023-08-22,12:00,1358188,1325661,2683849
2023-08-22,13:30,1726832,1677991,3404823
2023-08-23,12:00,808766,1050399,1859165
2023-08-23,13:30,1064843,1410615,2475458
2023-08-24,12:00,1225496,1457902,2683398
2023-08-24,13:30,1492590,1753084,3245674
2023-08-25,12:00,1225953,1673220,2899173
2023-08-25,13:30,1569774,2126688,3696462
2023-08-28,12:00,1020763,1589074,2609837
2023-08-28,13:30,1339431,2018236,3357667
2023-08-29,12:00,1318652,1750270,3068922
2023-08-29,13:30,1589209,2191703,3780912
2023-08-30,12:00,1294363,1295771,2590134
2023-08-30,13:30,1527536,1650012,3177548
2023-08-31,12:00,1161095,1189151,2350246
2023-08-31,13:30,1462689,1519074,2981763
2023-09-01,12:00,1299239,1429424,2728663
2023-09-01,13:30,1511995,1692067,3204062
2023-09-05,12:00,800630,1082085,1882715
2023-09-05,13:30,1017524,1322917,2340441
2023-09-06,12:00,1067607,1225298,2292905
2023-09-06,13:30,1384874,1517724,2902598
2023-09-07,12:00,990006,1209408,2199414
2023-09-07,13:30,1191206,1479002,2670208
2023-09-08,12:00,1123955,1099273,2223228
2023-09-08,13:30,1404213,1380735,2784948
2023-09-11,12:00,1023640,999911,2023551
2023-09-11,13:30,1274455,1247855,2522310
2023-09-12,12:00,974893,972773,1947666
2023-09-12,13:30,1320760,1354106,2674866
2023-09-13,12:00,1015822,1306923,2322745
2023-09-13,13:30,1209336,1557389,2766725
2023-09-14,12:00,993149,1404407,2397556
2023-09-14,13:30,1175895,1712089,2887984
2023-09-15,12:00,1294141,1142834,2436975
2023-09-15,13:30,1755856,1588614,3344470
2023-09-18,12:00,882132,1069604,1951736
2023-09-18,13:30,1067020,1324342,2391362
2023-09-19,12:00,990954,1091840,2082794
2023-09-19,13:30,1368167,1383083,2751250
2023-09-20,12:00,493879,574174,1068053
2023-09-20,13:30,850230,864874,1715104
2023-09-21,12:00,1177805,1189581,2367386
2023-09-21,13:30,1622672,1613973,3236645
2023-09-22,12:00,1081198,1457997,2539195
2023-09-22,13:30,1448891,2049759,3498650
2023-09-25,12:00,868220,1232942,2101162
2023-09-25,13:30,1089256,1560841,2650097
2023-09-26,12:00,1098993,1172222,2271215
2023-09-26,13:30,1542471,1566325,3108796
2023-09-27,12:00,1152130,1330415,2482545
2023-09-27,13:30,1562718,1816253,3378971
2023-09-28,12:00,1133537,1442192,2575729
2023-09-28,13:30,1414688,1812121,3226809
2023-09-29,12:00,1194917,1356349,2551266
2023-09-29,13:30,1615318,1843933,3459251
2023-10-02,12:00,1213854,1313726,2527580
2023-10-02,13:30,1589258,1682658,3271916
2023-10-03,12:00,1483470,1378937,2862407
2023-10-03,13:30,1828662,1747768,3576430
2023-10-04,12:00,1268779,1514245,2783024
2023-10-04,13:30,1604988,1930326,3535314
2023-10-05,12:00,1161553,1376934,2538487
2023-10-05,13:30,1553022,1771323,3324345
2023-10-06,12:00,1630607,2036371,3666978
2023-10-06,13:30,2031241,2497169,4528410
2023-10-09,12:00,808649,1060818,1869467
2023-10-09,13:30,1203303,1444751,2648054
2023-10-10,12:00,1372421,1225594,2598015
2023-10-10,13:30,1801226,1847885,3649111
2023-10-11,12:00,1064800,1157846,2222646
2023-10-11,13:30,1469276,1473274,2942550
2023-10-12,12:00,1189548,1119643,2309191
2023-10-12,13:30,1873603,1839075,3712678
2023-10-13,12:00,1266189,1514421,2780610
2023-10-13,13:30,1675716,1986118,3661834
2023-10-16,12:00,1062631,1442208,2504839
2023-10-16,13:30,1465453,1996418,3461871
2023-10-17,12:00,1344534,1501304,2845838
2023-10-17,13:30,1620868,2060359,3681227
2023-10-18,12:00,1310786,1497103,2807889
2023-10-18,13:30,1831192,1937831,3769023
2023-10-19,12:00,1175758,1487775,2663533
2023-10-19,13:30,1563448,2141082,3704530
2023-10-20,12:00,1412151,1823514,3235665
2023-10-20,13:30,1842620,2312754,4155374
2023-10-23,12:00,1330115,1553440,2883555
2023-10-23,13:30,1636008,2017504,3653512
2023-10-24,12:00,1260935,1329314,2590249
2023-10-24,13:30,1612661,1677133,3289794
2023-10-25,12:00,1267664,1174597,2442261
2023-10-25,13:30,1723457,1527747,3251204
2023-10-26,12:00,1332696,1475026,2807722
2023-10-26,13:30,1756307,1870385,3626692
2023-10-27,12:00,1285112,1403431,2688543
