d,callv,putv,totv,otm_call_0dte
2025-07-07,766844,711640,1478484,193811
2025-07-08,961628,974821,1936449,208645
2025-07-09,1107581,889268,1996849,589462
2025-07-10,900395,785515,1685910,45170
2025-07-11,956280,717188,1673468,176683
2025-07-14,876768,697665,1574433,79149
2025-07-15,1204708,992625,2197333,500956
2025-07-16,963943,983450,1947393,213406
2025-07-17,909733,653512,1563245,64065
2025-07-18,839224,967672,1806896,180363
2025-07-21,815489,821640,1637129,31435
2025-07-22,960152,1000457,1960609,99579
2025-07-23,729572,766430,1496002,62416
2025-07-24,798084,800518,1598602,60977
2025-07-25,742920,649885,1392805,77481
2025-07-28,875353,562675,1438028,78381
2025-07-29,720254,792437,1512691,68924
2025-07-30,467962,503979,971941,104673
2025-07-31,641048,888078,1529126,259588
2025-08-01,1097600,1193238,2290838,521401
2025-08-04,922229,877559,1799788,168285
2025-08-05,1101979,1151990,2253969,820940
2025-08-06,1005597,940578,1946175,55638
2025-08-07,1082312,991974,2074286,578522
2025-08-08,959495,792075,1751570,169176
2025-08-11,764973,734784,1499757,252532
2025-08-12,1134895,895671,2030566,120566
2025-08-13,938820,890384,1829204,359924
2025-08-14,894013,892549,1786562,103957
2025-08-15,818070,812640,1630710,320031
2025-08-18,876623,682794,1559417,131560
2025-08-19,949415,1009144,1958559,313232
2025-08-20,1021344,1279055,2300399,701820
2025-08-21,878394,1030069,1908463,152332
2025-08-22,1133189,1173514,2306703,138571
2025-08-25,779816,671317,1451133,97857
2025-08-26,888044,728971,1617015,108992
2025-08-27,535483,488578,1024061,99412
2025-08-28,848610,779164,1627774,95043
2025-08-29,1129115,1028547,2157662,493799
2025-09-02,916714,751220,1667934,298105
2025-09-03,960856,854168,1815024,46904
2025-09-04,843716,858407,1702123,65381
2025-09-05,1225521,1388164,2613685,978727
2025-09-08,899048,819832,1718880,38712
2025-09-09,886617,987664,1874281,133511
2025-09-10,831241,911201,1742442,75833
2025-09-11,845845,985509,1831354,59015
2025-09-12,693422,788870,1482292,42985
2025-09-15,775740,681612,1457352,33758
2025-09-16,706637,818941,1525578,165273
2025-09-17,323108,417714,740822,134446
2025-09-18,1013637,1081351,2094988,128825
2025-09-19,794153,732713,1526866,87326
2025-09-22,808820,710808,1519628,13256
2025-09-23,641610,712089,1353699,107964
2025-09-24,679007,870152,1549159,139513
2025-09-25,952619,1055498,2008117,169380
2025-09-26,1255413,1070173,2325586,693844
2025-09-29,775461,832057,1607518,112087
2025-09-30,786942,912751,1699693,132056
2025-10-01,893321,947963,1841284,52438
2025-10-02,926433,1110587,2037020,285107
2025-10-03,978005,963677,1941682,25893
2025-10-06,694435,808187,1502622,38421
2025-10-07,831563,1075864,1907427,156666
2025-10-08,872482,879878,1752360,26023
2025-10-09,945653,1255073,2200726,186424
2025-10-10,1115355,1135257,2250612,1064194
2025-10-13,778857,773341,1552198,405315
2025-10-14,927492,1105485,2032977,214107
2025-10-15,1200330,978453,2178783,221803
2025-10-16,1123396,1104328,2227724,331838
2025-10-17,1120897,1125435,2246332,756019
2025-10-20,693158,828659,1521817,43299
2025-10-21,1044286,1179347,2223633,90005
2025-10-22,932045,1223083,2155128,229207
2025-10-23,1120355,940177,2060532,178424
2025-10-24,1147499,1195299,2342798,149153
2025-10-27,860123,898024,1758147,46466
2025-10-28,908296,954453,1862749,87933
2025-10-29,452916,490946,943862,169568
2025-10-30,807253,975248,1782501,253648
2025-10-31,778592,918789,1697381,188978
2025-11-03,1165545,1061009,2226554,349727
2025-11-04,969654,1095065,2064719,214418
2025-11-05,1004858,872055,1876913,182253
2025-11-06,1290503,1230621,2521124,1018786
2025-11-07,1018234,1137649,2155883,591511
2025-11-10,1136103,967413,2103516,590577
2025-11-11,700831,799010,1499841,206999
2025-11-12,942242,1030621,1972863,372171
2025-11-13,1221053,1231030,2452083,877173
2025-11-14,1332275,1089199,2421474,281664
2025-11-17,1046880,851066,1897946,487078
2025-11-18,1252697,1201405,2454102,923311
2025-11-19,970536,959741,1930277,503252
2025-11-20,1035258,1228170,2263428,543769
2025-11-21,922297,1474589,2396886,593215
2025-11-24,1228713,1047616,2276329,151550
2025-11-25,1303290,1540209,2843499,201743
2025-11-26,1468322,1206252,2674574,100866
2025-11-28,858083,668488,1526571,116599
2025-12-01,1366222,1046714,2412936,257253
2025-12-02,1533639,1160731,2694370,132219
2025-12-03,1140085,963925,2104010,134785
2025-12-04,1297736,1083627,2381363,335352
2025-12-05,1187234,1360497,2547731,131438
2025-12-08,1106679,1024945,2131624,535690
2025-12-09,946386,928000,1874386,45356
2025-12-10,572246,655769,1228015,173422
2025-12-11,1284457,1159853,2444310,195669
2025-12-12,1428957,1342684,2771641,1147455
2025-12-15,1297417,1420442,2717859,543008
2025-12-16,1203835,1454345,2658180,390206
2025-12-17,1307199,1397438,2704637,1099490
2025-12-18,1137946,1380822,2518768,145864
2025-12-19,979720,1164762,2144482,198192
2025-12-22,923060,1020653,1943713,54912
2025-12-23,1185362,1061796,2247158,41708
2025-12-24,1021256,725571,1746827,7355
2025-12-26,1231570,938484,2170054,44069
2025-12-29,1031860,1106624,2138484,168658
2025-12-30,1051564,929637,1981201,41982
2025-12-31,889471,889347,1778818,341068
2026-01-02,1326387,1456940,2783327,945878
2026-01-05,914351,1017964,1932315,41964
2026-01-06,1145375,1353939,2499314,119410
2026-01-07,1176614,1097879,2274493,46619
2026-01-08,1005158,1162598,2167756,72101
2026-01-09,1372708,1392066,2764774,214775
2026-01-12,982598,1034821,2017419,38316
2026-01-13,1366287,1242994,2609281,318255
2026-01-14,1261617,1246183,2507800,831674
2026-01-15,1043347,1102907,2146254,130163
2026-01-16,1151157,1199017,2350174,208290
2026-01-20,1133909,1002984,2136893,297431
2026-01-21,1140123,963450,2103573,70349
2026-01-22,1313079,1140279,2453358,255536
2026-01-23,1104470,1065070,2169540,74133
2026-01-26,1094194,1132669,2226863,53092
2026-01-27,1143536,1200301,2343837,30219
2026-01-28,700446,711504,1411950,231424
2026-01-29,1244538,1350734,2595272,1074208
2026-01-30,976692,1001421,1978113,362487
2026-02-02,953331,1103919,2057250,142341
2026-02-03,1156277,1554092,2710369,435146
2026-02-04,855433,1223067,2078500,499903
2026-02-05,912164,1242243,2154407,628549
2026-02-06,1235944,1092728,2328672,411347
2026-02-09,1188207,828841,2017048,71436
2026-02-10,1322625,1083930,2406555,207646
2026-02-11,1338109,1554688,2892797,686272
2026-02-12,993558,1564911,2558469,799213
2026-02-13,1140566,1289322,2429888,434485
2026-02-17,1018568,1374220,2392788,495305
2026-02-18,1098679,953085,2051764,164067
2026-02-19,1069632,1125990,2195622,320807
2026-02-20,1401226,1361743,2762969,286543
2026-02-23,1069811,1403269,2473080,849377
2026-02-24,1361841,1308832,2670673,244771
2026-02-25,1044983,842877,1887860,207536
2026-02-26,1253990,1603294,2857284,664818
2026-02-27,1139292,1177985,2317277,338745
2026-03-02,1105432,1191880,2297312,270046
2026-03-03,1330373,1362313,2692686,835751
2026-03-04,1515914,1214741,2730655,291737
2026-03-05,1463908,1378697,2842605,611520
2026-03-06,1387567,1260687,2648254,431410
2026-03-09,1164861,1246012,2410873,332507
2026-03-10,1408415,1180903,2589318,193977
2026-03-11,1240868,1089258,2330126,447943
2026-03-12,1339462,1417786,2757248,765970
2026-03-13,1443307,1502890,2946197,1259561
2026-03-16,1202176,1278737,2480913,312963
2026-03-17,1123837,1234348,2358185,300471
2026-03-18,812353,1079354,1891707,350784
2026-03-19,1033368,1258754,2292122,353600
2026-03-20,1369117,1352504,2721621,556631
2026-03-23,1117782,1127581,2245363,327964
2026-03-24,1188931,1454400,2643331,323654
2026-03-25,1215914,1267880,2483794,450642
2026-03-26,1043094,1490481,2533575,492189
2026-03-27,1257503,1399995,2657498,546534
2026-03-30,1027903,1489696,2517599,279921
2026-03-31,1129422,1606212,2735634,616449
2026-04-01,1167395,1473840,2641235,247590
2026-04-02,1455834,2060542,3516376,464607
2026-04-06,993949,1206513,2200462,338613
2026-04-07,924683,1443536,2368219,600788
2026-04-08,1000934,1553223,2554157,458660
2026-04-09,894087,1284714,2178801,164971
2026-04-10,1031893,1320037,2351930,192556
2026-04-13,1106681,1443454,2550135,171763
2026-04-14,1401416,1256853,2658269,187427
2026-04-15,1542486,1051129,2593615,151238
2026-04-16,1030339,1420363,2450702,229246
2026-04-17,1881369,1472560,3353929,240873
2026-04-20,1171744,1536969,2708713,466706
2026-04-21,1367657,1449645,2817302,897369
2026-04-22,1189445,1147968,2337413,170962
2026-04-23,1073548,1159623,2233171,120942
2026-04-24,1038367,1267163,2305530,185323
2026-04-27,848069,1138732,1986801,123783
2026-04-28,1147873,1370034,2517907,321360
2026-04-29,528324,662485,1190809,121759
2026-04-30,1183726,1168197,2351923,222408
2026-05-01,1444457,1456156,2900613,263096
2026-05-04,974217,1112819,2087036,157886
2026-05-05,1170210,1137870,2308080,130519
2026-05-06,1259321,1133386,2392707,72826
2026-05-07,1142970,1097519,2240489,122185
2026-05-08,1160903,1009006,2169909,142068
2026-05-11,1016749,1123478,2140227,53101
2026-05-12,1039071,1606694,2645765,406666
2026-05-13,1091105,1275927,2367032,82398
2026-05-14,1557214,902141,2459355,100365
2026-05-15,1496388,1378013,2874401,564651
2026-05-18,1379794,1308710,2688504,433383
2026-05-19,1253715,1465100,2718815,558376
2026-05-20,1493524,957654,2451178,276061
2026-05-21,1341032,1194338,2535370,465264
2026-05-22,1357783,1027894,2385677,253598
2026-05-26,1023712,909732,1933444,114785
2026-05-27,1140079,1075724,2215803,246203
2026-05-28,1189171,1083868,2273039,102038
2026-05-29,1381065,1248602,2629667,360845
2026-06-01,932124,849415,1781539,157630
2026-06-02,1146021,803670,1949691,40235
2026-06-03,1041570,996211,2037781,163366
2026-06-04,1273355,1008349,2281704,118209
2026-06-05,1538960,1547144,3086104,502116
2026-06-08,1482281,1273147,2755428,267969
2026-06-09,2033145,2124046,4157191,1655531
2026-06-10,1625124,1656545,3281669,1280793
2026-06-11,1458765,1783931,3242696,1272335
2026-06-12,1851599,1537305,3388904,495907
2026-06-15,1545799,1272794,2818593,218190
2026-06-16,1552371,1648576,3200947,493467
2026-06-17,1012000,1181461,2193461,553045
2026-06-18,1387538,1622107,3009645,278780
2026-06-22,1562270,1564699,3126969,1054092
2026-06-23,1327425,1613987,2941412,508458
2026-06-24,1371722,1405908,2777630,177043
2026-06-25,1706275,1978277,3684552,587787
2026-06-26,1296969,1468385,2765354,316257
2026-06-29,1789014,1797370,3586384,301332
2026-06-30,1466038,1386558,2852596,278959
2026-07-01,1569898,1354496,2924394,195468
2026-07-02,2054155,1670684,3724839,829781
2026-07-06,1352690,1189733,2542423,92115
2026-07-07,1332606,1864820,3197426,744077
2026-07-08,1101539,1615201,2716740,566815
2026-07-09,1670980,1302554,2973534,172262
2026-07-10,1600776,1459178,3059954,266672
2026-07-13,1284759,1505787,2790546,172670
2026-07-14,1394303,1088943,2483246,145373
2026-07-15,1391996,1487842,2879838,193748
2026-07-16,1312195,1488308,2800503,161213
2026-07-17,1427605,1656102,3083707,478792
2026-07-20,1290160,1478004,2768164,719097
2026-07-21,1330536,1474347,2804883,84349
2026-07-22,1121247,1272151,2393398,221855
2026-07-23,1358642,1450056,2808698,878110
2026-07-24,1357275,1590221,2947496,155721
2026-07-27,1716104,1734098,3450202,881838
2026-07-28,1310526,1570942,2881468,277169
2026-07-29,827388,1024586,1851974,577460
2026-07-30,1364569,1487883,2852452,757747
2026-07-31,1792515,1904359,3696874,614054
2026-08-03,1582635,1339436,2922071,18819
2026-08-04,2177986,1191867,3369853,131745
2026-08-05,1611012,1550666,3161678,938350
2026-08-06,1446862,1401332,2848194,475635
2026-08-07,1564448,1269639,2834087,262835
2026-08-10,1350045,1166066,2516111,183827
2026-08-11,1051316,1036014,2087330,107986
